Value,MODLAND,VI Usefulness,Aerosol Quantity,Adjacent cloud detected,Atmosphere BRDF Correction,Mixed Clouds,Land/Water Mask,Possible snow/ice,Possible shadow
7295,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,Yes,Shallow inland water,No,No
7314,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Average,No,No,Yes,Shallow inland water,No,No
7318,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,No,No,Yes,Shallow inland water,No,No
7322,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,No,No,Yes,Shallow inland water,No,No
7359,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,Yes,Shallow inland water,No,No
7386,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,No,No,Yes,Shallow inland water,No,No
7390,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,No,No,Yes,Shallow inland water,No,No
7394,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,No,No,Yes,Shallow inland water,No,No
7423,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,Yes,Shallow inland water,No,No
7450,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,Yes,Shallow inland water,No,No
7454,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Shallow inland water,No,No
7458,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Shallow inland water,No,No
7487,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Shallow inland water,No,No
7646,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,Yes,No,Yes,Shallow inland water,No,No
7650,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,Yes,No,Yes,Shallow inland water,No,No
7679,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,Yes,Shallow inland water,No,No
18445,"VI produced, but check other QA",Decreasing quality (0011),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18446,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18449,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18450,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18453,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18454,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18495,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Land (Nothing else but land),Yes,No
18500,"VI produced, good quality",Lower quality,Low,No,No,No,Land (Nothing else but land),Yes,No
18504,"VI produced, good quality",Decreasing quality (0010),Low,No,No,No,Land (Nothing else but land),Yes,No
18508,"VI produced, good quality",Decreasing quality (0011),Low,No,No,No,Land (Nothing else but land),Yes,No
18559,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Land (Nothing else but land),Yes,No
18569,"VI produced, but check other QA",Decreasing quality (0010),Average,No,No,No,Land (Nothing else but land),Yes,No
18573,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Land (Nothing else but land),Yes,No
18577,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Land (Nothing else but land),Yes,No
18641,"VI produced, but check other QA",Decreasing quality (0100),High,No,No,No,Land (Nothing else but land),Yes,No
18645,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Land (Nothing else but land),Yes,No
18649,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Land (Nothing else but land),Yes,No
18702,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18705,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18706,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18709,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18713,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18751,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18760,"VI produced, good quality",Decreasing quality (0010),Low,Yes,No,No,Land (Nothing else but land),Yes,No
18764,"VI produced, good quality",Decreasing quality (0011),Low,Yes,No,No,Land (Nothing else but land),Yes,No
18768,"VI produced, good quality",Decreasing quality (0100),Low,Yes,No,No,Land (Nothing else but land),Yes,No
18829,"VI produced, but check other QA",Decreasing quality (0011),Average,Yes,No,No,Land (Nothing else but land),Yes,No
18833,"VI produced, but check other QA",Decreasing quality (0100),Average,Yes,No,No,Land (Nothing else but land),Yes,No
18837,"VI produced, but check other QA",Decreasing quality (0101),Average,Yes,No,No,Land (Nothing else but land),Yes,No
18901,"VI produced, but check other QA",Decreasing quality (0101),High,Yes,No,No,Land (Nothing else but land),Yes,No
18905,"VI produced, but check other QA",Decreasing quality (0110),High,Yes,No,No,Land (Nothing else but land),Yes,No
18909,"VI produced, but check other QA",Decreasing quality (0111),High,Yes,No,No,Land (Nothing else but land),Yes,No
18943,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,No,Land (Nothing else but land),Yes,No
19478,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,Yes,Land (Nothing else but land),Yes,No
19482,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,Yes,Land (Nothing else but land),Yes,No
19486,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Land (Nothing else but land),Yes,No
19490,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Land (Nothing else but land),Yes,No
19519,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Land (Nothing else but land),Yes,No
19606,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,No,No,Yes,Land (Nothing else but land),Yes,No
19738,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,No
19742,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,No
19746,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,No
19750,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,No
19798,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,Yes,No,Yes,Land (Nothing else but land),Yes,No
20493,"VI produced, but check other QA",Decreasing quality (0011),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20494,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20497,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20498,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20501,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20502,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20543,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20548,"VI produced, good quality",Lower quality,Low,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20552,"VI produced, good quality",Decreasing quality (0010),Low,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20556,"VI produced, good quality",Decreasing quality (0011),Low,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20617,"VI produced, but check other QA",Decreasing quality (0010),Average,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20621,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20625,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20689,"VI produced, but check other QA",Decreasing quality (0100),High,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20693,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20697,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20750,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20753,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20757,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20761,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20799,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
21530,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21534,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21538,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21790,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21794,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21798,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,No
22541,"VI produced, but check other QA",Decreasing quality (0011),Climatology,No,No,No,Shallow inland water,Yes,No
22542,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,No,No,No,Shallow inland water,Yes,No
22545,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Shallow inland water,Yes,No
22546,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Shallow inland water,Yes,No
22549,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Shallow inland water,Yes,No
22550,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Shallow inland water,Yes,No
22591,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Shallow inland water,Yes,No
22596,"VI produced, good quality",Lower quality,Low,No,No,No,Shallow inland water,Yes,No
22600,"VI produced, good quality",Decreasing quality (0010),Low,No,No,No,Shallow inland water,Yes,No
22604,"VI produced, good quality",Decreasing quality (0011),Low,No,No,No,Shallow inland water,Yes,No
22665,"VI produced, but check other QA",Decreasing quality (0010),Average,No,No,No,Shallow inland water,Yes,No
22669,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Shallow inland water,Yes,No
22673,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Shallow inland water,Yes,No
22719,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Shallow inland water,Yes,No
22737,"VI produced, but check other QA",Decreasing quality (0100),High,No,No,No,Shallow inland water,Yes,No
22741,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Shallow inland water,Yes,No
22745,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Shallow inland water,Yes,No
22801,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Shallow inland water,Yes,No
22805,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Shallow inland water,Yes,No
22809,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Shallow inland water,Yes,No
22810,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Shallow inland water,Yes,No
22847,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Shallow inland water,Yes,No
23005,"VI produced, but check other QA",Decreasing quality (0111),High,Yes,No,No,Shallow inland water,Yes,No
23574,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,Yes,Shallow inland water,Yes,No
23578,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,Yes,Shallow inland water,Yes,No
23582,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Shallow inland water,Yes,No
23586,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Shallow inland water,Yes,No
23615,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Shallow inland water,Yes,No
23638,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,No,No,Yes,Shallow inland water,Yes,No
23838,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Shallow inland water,Yes,No
23842,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Shallow inland water,Yes,No
23846,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Shallow inland water,Yes,No
23871,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Shallow inland water,Yes,No
34833,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Land (Nothing else but land),No,Yes
34834,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Land (Nothing else but land),No,Yes
34837,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),No,Yes
34838,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),No,Yes
34841,"VI produced, but check other QA",Decreasing quality (0110),Climatology,No,No,No,Land (Nothing else but land),No,Yes
34842,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,No,Land (Nothing else but land),No,Yes
34888,"VI produced, good quality",Decreasing quality (0010),Low,No,No,No,Land (Nothing else but land),No,Yes
34892,"VI produced, good quality",Decreasing quality (0011),Low,No,No,No,Land (Nothing else but land),No,Yes
34896,"VI produced, good quality",Decreasing quality (0100),Low,No,No,No,Land (Nothing else but land),No,Yes
34898,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,No,No,No,Land (Nothing else but land),No,Yes
34957,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Land (Nothing else but land),No,Yes
34958,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Average,No,No,No,Land (Nothing else but land),No,Yes
34961,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Land (Nothing else but land),No,Yes
34962,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Average,No,No,No,Land (Nothing else but land),No,Yes
34965,"VI produced, but check other QA",Decreasing quality (0101),Average,No,No,No,Land (Nothing else but land),No,Yes
34966,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,No,No,No,Land (Nothing else but land),No,Yes
35007,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Land (Nothing else but land),No,Yes
35029,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Land (Nothing else but land),No,Yes
35030,"Pixel produced, but most probably cloudy",Decreasing quality (0101),High,No,No,No,Land (Nothing else but land),No,Yes
35033,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Land (Nothing else but land),No,Yes
35034,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,No,No,No,Land (Nothing else but land),No,Yes
35037,"VI produced, but check other QA",Decreasing quality (0111),High,No,No,No,Land (Nothing else but land),No,Yes
35038,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,No,No,No,Land (Nothing else but land),No,Yes
35089,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35090,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35093,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35094,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35097,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35098,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35101,"VI produced, but check other QA",Decreasing quality (0111),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35102,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35135,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35144,"VI produced, good quality",Decreasing quality (0010),Low,Yes,No,No,Land (Nothing else but land),No,Yes
35148,"VI produced, good quality",Decreasing quality (0011),Low,Yes,No,No,Land (Nothing else but land),No,Yes
35152,"VI produced, good quality",Decreasing quality (0100),Low,Yes,No,No,Land (Nothing else but land),No,Yes
35154,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,Yes,No,No,Land (Nothing else but land),No,Yes
35156,"VI produced, good quality",Decreasing quality (0101),Low,Yes,No,No,Land (Nothing else but land),No,Yes
35158,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,Yes,No,No,Land (Nothing else but land),No,Yes
35213,"VI produced, but check other QA",Decreasing quality (0011),Average,Yes,No,No,Land (Nothing else but land),No,Yes
35217,"VI produced, but check other QA",Decreasing quality (0100),Average,Yes,No,No,Land (Nothing else but land),No,Yes
35218,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Average,Yes,No,No,Land (Nothing else but land),No,Yes
35221,"VI produced, but check other QA",Decreasing quality (0101),Average,Yes,No,No,Land (Nothing else but land),No,Yes
35222,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,Yes,No,No,Land (Nothing else but land),No,Yes
35225,"VI produced, but check other QA",Decreasing quality (0110),Average,Yes,No,No,Land (Nothing else but land),No,Yes
35226,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,Yes,No,No,Land (Nothing else but land),No,Yes
35263,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,Yes,No,No,Land (Nothing else but land),No,Yes
35285,"VI produced, but check other QA",Decreasing quality (0101),High,Yes,No,No,Land (Nothing else but land),No,Yes
35289,"VI produced, but check other QA",Decreasing quality (0110),High,Yes,No,No,Land (Nothing else but land),No,Yes
35290,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,Yes,No,No,Land (Nothing else but land),No,Yes
35293,"VI produced, but check other QA",Decreasing quality (0111),High,Yes,No,No,Land (Nothing else but land),No,Yes
35294,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,Yes,No,No,Land (Nothing else but land),No,Yes
35297,"VI produced, but check other QA",Decreasing quality (1000),High,Yes,No,No,Land (Nothing else but land),No,Yes
35298,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,Yes,No,No,Land (Nothing else but land),No,Yes
35870,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Land (Nothing else but land),No,Yes
35874,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Land (Nothing else but land),No,Yes
35878,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,No,No,Yes,Land (Nothing else but land),No,Yes
35926,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,No,No,Yes,Land (Nothing else but land),No,Yes
35930,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Low,No,No,Yes,Land (Nothing else but land),No,Yes
35934,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Low,No,No,Yes,Land (Nothing else but land),No,Yes
35994,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,No,No,Yes,Land (Nothing else but land),No,Yes
35998,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Average,No,No,Yes,Land (Nothing else but land),No,Yes
36002,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Average,No,No,Yes,Land (Nothing else but land),No,Yes
36066,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,No,No,Yes,Land (Nothing else but land),No,Yes
36070,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,No,No,Yes,Land (Nothing else but land),No,Yes
36074,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,No,No,Yes,Land (Nothing else but land),No,Yes
